"Product","F1","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25",
"P0","YES","YES","NO","YES","YES","YES","YES","YES","YES","YES","YES","NO","YES","YES","YES","NO","YES","YES","YES","NO","YES","YES","YES","YES","YES",
"P1","YES","YES","NO","YES","YES","YES","YES","YES","NO","YES","YES","NO","YES","YES","YES","NO","YES","YES","YES","NO","YES","YES","YES","NO","YES",
"P2","YES","NO","NO","YES","NO","NO","YES","YES","NO","YES","YES","NO","NO","YES","YES","NO","YES","NO","YES","NO","YES","NO","YES","NO","YES",
"P3","YES","YES","NO","YES","YES","YES","YES","YES","YES","YES","YES","NO","YES","YES","YES","NO","YES","YES","YES","YES","YES","YES","YES","YES","YES",
"P4","YES","NO","NO","YES","NO","YES","YES","YES","NO","YES","YES","NO","NO","YES","YES","NO","YES","NO","YES","NO","YES","NO","YES","NO","YES",
"P5","YES","NO","NO","YES","NO","YES","YES","YES","NO","YES","YES","NO","NO","YES","YES","NO","YES","NO","YES","NO","YES","YES","YES","NO","YES",
"P6","NO","NO","NO","NO","NO","NO","NO","YES","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","YES","NO","NO","NO","NO","NO","YES",
"P7","YES","YES","NO","YES","YES","YES","YES","YES","YES","YES","YES","NO","YES","YES","YES","NO","YES","YES","YES","NO","YES","YES","YES","NO","YES",
"P8","YES","NO","NO","YES","YES","YES","YES","YES","NO","YES","YES","NO","NO","YES","YES","NO","YES","YES","YES","NO","YES","YES","YES","NO","YES",
"P9","YES","NO","NO","YES","NO","NO","YES","YES","NO","YES","YES","NO","NO","NO","YES","NO","NO","NO","YES","NO","YES","NO","YES","NO","YES",
"P10","YES","YES","YES","YES","YES","YES","YES","YES","YES","YES","YES","YES","YES","YES","YES","YES","YES","YES","YES","YES","YES","YES","YES","YES","YES",
"P11","NO","NO","NO","YES","NO","NO","YES","YES","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","YES","NO","NO","NO","YES","NO","YES",
"P12","YES","NO","NO","YES","YES","NO","YES","YES","NO","YES","YES","NO","NO","NO","YES","NO","YES","NO","YES","NO","YES","NO","YES","NO","YES",
#PCMSeed:1973406531
